Month,Geography,Estimate,North American Industry Classification System (NAICS),Value,Monthly Change,Yearly change,Indexed value
Jan 2011,Nova Scotia,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Feb 2011,Nova Scotia,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Mar 2011,Nova Scotia,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Apr 2011,Nova Scotia,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
May 2011,Nova Scotia,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jun 2011,Nova Scotia,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jul 2011,Nova Scotia,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Aug 2011,Nova Scotia,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Sep 2011,Nova Scotia,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Oct 2011,Nova Scotia,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Nov 2011,Nova Scotia,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Dec 2011,Nova Scotia,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jan 2012,Nova Scotia,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Feb 2012,Nova Scotia,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Mar 2012,Nova Scotia,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Apr 2012,Nova Scotia,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
May 2012,Nova Scotia,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jun 2012,Nova Scotia,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jul 2012,Nova Scotia,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Aug 2012,Nova Scotia,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Sep 2012,Nova Scotia,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
